"구분(1)",구분(2),구분(3),구분(4),2024.05,2024.06,2024.07,2024.08,2024.09,2024.10
"도시대기",충청북도,청주,산남동,29,27,15,19,14,21
"도시대기",충청북도,청주,가덕면,27,24,15,19,16,22
"도시대기",충청북도,청주,오송읍,32,31,17,22,17,25
"도시대기",충청북도,충주,호암동,24,28,22,19,15,20
"도시대기",충청북도,충주,칠금동,33,30,16,19,14,22
"도시대기",충청북도,충주,중앙탑면,30,31,21,24,16,19
"도시대기",충청북도,충주,살미면,26,26,21,23,16,17
"도시대기",충청북도,제천,장락동,33,32,20,25,20,23
"도시대기",충청북도,제천,영천동,31,30,18,21,18,20
"도시대기",충청북도,제천,청풍면,24,25,15,15,12,14
"도시대기",충청북도,단양,매포읍,43,37,19,23,16,21
"도시대기",충청북도,단양,단성면,21,22,18,24,17,20
"도시대기",충청북도,단양,단양읍,28,24,15,17,13,17
"도시대기",충청북도,진천,진천읍,34,34,22,25,20,27
"도시대기",충청북도,진천,덕산읍,33,32,16,17,14,22
"도시대기",충청북도,옥천,옥천읍,23,22,14,18,13,17
"도시대기",충청북도,영동,영동읍,26,24,14,16,12,17
"도시대기",충청북도,영동,황간면,26,23,14,15,12,15
"도시대기",충청북도,증평,증평읍,25,25,14,19,13,21
"도시대기",충청북도,증평,도안면,29,29,17,17,13,21
"도시대기",충청북도,보은,보은읍,28,26,14,17,14,17
"도시대기",충청남도,천안,성황동,34,31,18,26,18,25
"도시대기",충청남도,천안,백석동,29,28,14,26,18,24
"도시대기",충청남도,천안,성거읍,34,34,18,23,18,28
"도시대기",충청남도,천안,신방동,41,39,23,30,24,29
"도시대기",충청남도,당진,송산면,48,44,24,35,26,38
"도시대기",충청남도,당진,당진시청사,32,28,17,29,23,31
"도시대기",충청남도,당진,합덕읍,30,27,13,21,17,33
"도시대기",충청남도,서산,독곶리,28,27,19,24,19,27
"도시대기",충청남도,서산,동문동,26,25,15,26,19,28
"도시대기",충청남도,서산,대산리,27,27,19,24,19,26
"도시대기",충청남도,서산,성연면,24,24,17,23,18,25
"도시대기",충청남도,아산,모종동,40,35,18,28,21,31
"도시대기",충청남도,아산,배방읍,38,31,13,29,23,30
"도시대기",충청남도,아산,도고면,38,29,12,25,18,25
"도시대기",충청남도,아산,둔포면,40,39,23,31,22,34
"도시대기",충청남도,아산,인주면,35,33,20,29,21,31
"도시대기",충청남도,아산,송악면,28,26,14,20,15,21
"도시대기",충청남도,논산,논산,34,34,22,27,20,27
"도시대기",충청남도,논산,연무읍사무소,26,26,15,19,15,16
"도시대기",충청남도,논산,성동면,27,26,13,18,15,30
"도시대기",충청남도,태안,이원면,29,29,25,30,23,28
"도시대기",충청남도,태안,태안읍,26,27,31,32,22,27
"도시대기",충청남도,태안,원북면,24,22,16,21,17,23
"도시대기",충청남도,보령,대천2동,26,24,16,22,16,22
"도시대기",충청남도,보령,주교면,26,25,16,21,19,29
"도시대기",충청남도,홍성,홍성읍,30,29,18,26,20,31
"도시대기",충청남도,홍성,내포,29,26,18,24,19,27
"도시대기",충청남도,공주,공주,28*,27,18,22,18,21
"도시대기",충청남도,공주,탄천면,32,30,18,23,20,37
