"구분(1)",구분(2),구분(3),구분(4),2024.05,2024.06,2024.07,2024.08,2024.09,2024.10
"도시대기",충청남도,천안,성거읍,16,17,9,14,9,13
"도시대기",충청남도,천안,신방동,21,22,14,19,12,14
"도시대기",충청남도,당진,송산면,21,21,16,23,17,22
"도시대기",충청남도,당진,당진시청사,16,19*,11,17,9,15
"도시대기",충청남도,당진,합덕읍,18,17,9,15,10,19
"도시대기",충청남도,서산,독곶리,8,9,7,13,9,12
"도시대기",충청남도,서산,동문동,12,12,9,12,6,8
"도시대기",충청남도,서산,대산리,13,14,8,13,8,13
"도시대기",충청남도,서산,성연면,14,15,9,13,9,14
"도시대기",충청남도,아산,모종동,19,16,9,16,10,16
"도시대기",충청남도,아산,배방읍,19,17,7,17,10,16
"도시대기",충청남도,아산,도고면,25,16,8,18,13,16
"도시대기",충청남도,아산,둔포면,28,23,13,19,13,21
"도시대기",충청남도,아산,인주면,21,21,12,20,13,22
"도시대기",충청남도,아산,송악면,14,13,7,10,7,12
"도시대기",충청남도,논산,논산,15,17,9,17,12,13
"도시대기",충청남도,논산,연무읍,15,17,8,13,10,13
"도시대기",충청남도,논산,성동면,14,14,7,11,10,15
"도시대기",충청남도,태안,이원면,13,14,9,15,10,14
"도시대기",충청남도,태안,태안읍,11,14,8,14,10,14
"도시대기",충청남도,태안,원북면,12,14,7,12,9,12
"도시대기",충청남도,보령,대천2동,12,13,8,9,5,10
"도시대기",충청남도,보령,주교면,13,14,7,13,10,15
"도시대기",충청남도,홍성,홍성읍,18,17,10,15,11,19
"도시대기",충청남도,홍성,내포,14,15,8,10,6,12
"도시대기",충청남도,공주,공주,13,14,8,12,9,11
"도시대기",충청남도,공주,탄천면,15,14,11,19,15,21
"도시대기",충청남도,부여,부여읍,13,14,8,12,10,13
"도시대기",충청남도,청양,청양읍,15,17,10,15,11,14
"도시대기",충청남도,청양,정산면,14,15,8,13,9,12
"도시대기",충청남도,금산,금산읍,16,12,6,12,11,13
"도시대기",충청남도,예산,예산군,21,20,13,19,13,16
"도시대기",충청남도,예산,삽교읍,19,20,12,17,11,20
"도시대기",충청남도,예산,고덕면,21,24,14,18,12,20
"도시대기",충청남도,계룡,엄사면,13,15,7,13,10,12
"도시대기",충청남도,서천,서천읍,13,14,8,13,9,12
"도시대기",충청남도,서천,서면,12,13,7,12,11,13
"도시대기",충청남도,서천,장항읍,-,-,-,-,-,16*
"도시대기",전북특별자치도,임실,임실읍,14,11,6,9,6,9
"도시대기",전북특별자치도,임실,관촌면,16,14,7,9,7,11
"도시대기",전북특별자치도,전주,삼천동,18,18,10,15,10,17
"도시대기",전북특별자치도,전주,팔복동,15,17*,8**,11*,8,11
"도시대기",전북특별자치도,전주,노송동,11,10,6,12,11,13
"도시대기",전북특별자치도,전주,송천동,15,14,7,11,8,12
"도시대기",전북특별자치도,전주,혁신동,14,15,7,12,10,14
"도시대기",전북특별자치도,전주,여의동,17,19,11,16,13,16
"도시대기",전북특별자치도,전주,효자동,16,16,7,13,9,14
"도시대기",전북특별자치도,군산,신풍동,15,16,10,15,12,15
"도시대기",전북특별자치도,군산,소룡동,16,18,11,17,14,18
"도시대기",전북특별자치도,군산,사정동,16,17,10,14,12,16
"도시대기",전북특별자치도,군산,옥산면,18,18,11,16,12,15
"도시대기",전북특별자치도,군산,비응도동,15,15,9,15,14,20
"도시대기",전북특별자치도,군산,소룡동2,17,18,10,15,14,18
"도시대기",전북특별자치도,익산,함열읍,19,21,9,14,11,20
"도시대기",전북특별자치도,익산,팔봉동,17,19,10,14,11,9**
"도시대기",전북특별자치도,익산,모현동,19,19,10,14,11,19
"도시대기",전북특별자치도,익산,삼기면,22,24,12,18,16,22
"도시대기",전북특별자치도,익산,용동면,20,21,9,15,12,19
"도시대기",전북특별자치도,익산,춘포면,18,21,10,14,11,17
"도시대기",전북특별자치도,익산,여산면,14,14,7,10,9,13
"도시대기",전북특별자치도,남원,죽항동,10,11,6,12,9,11
"도시대기",전북특별자치도,남원,운봉읍,13,13,6,10,12,13
"도시대기",전북특별자치도,정읍,연지동,14,13,8,13,9**,12
"도시대기",전북특별자치도,정읍,신태인,14,17,10,19,13,14
"도시대기",전북특별자치도,정읍,영파동,16,17,10,18,13,15
"도시대기",전북특별자치도,고창,고창읍,15,14,7,10,10,14
"도시대기",전북특별자치도,고창,심원면,17,16,9,12,11,15
"도시대기",전북특별자치도,부안,부안읍,16,17,10,17,15,18
"도시대기",전북특별자치도,부안,계화면,16,18,10,15,13,18
"도시대기",전북특별자치도,김제,요촌동,16,18,9,15,13,18
"도시대기",전북특별자치도,김제,광활면,15,18,9,14,11,15
"도시대기",전북특별자치도,완주,고산면,14,16,9,14,10,11
"도시대기",전북특별자치도,완주,봉동읍,14,16,9,13,10,12
"도시대기",전북특별자치도,완주,구이면,11,13,7,14,11,12
"도시대기",전북특별자치도,진안,진안읍,11,14,9,12,9,9
"도시대기",전북특별자치도,무주,무주읍,14,15,9,11,9,10
"도시대기",전북특별자치도,무주,안성면,14,14,8,12,8,12
"도시대기",전북특별자치도,순창,순창읍,15,15,10,15,11,11
"도시대기",전북특별자치도,장수,장수읍,13,12,8,12,9,11
"도시대기",전북특별자치도,장수,장계면,13,13,8,13,9,10
"도시대기",전라남도,화순,화순읍,12**,-,-,8**,11,11
"도시대기",전라남도,여수,서강동,11,11,6,10,7,8
"도시대기",전라남도,여수,월내동,16,16,8,14,12,10
"도시대기",전라남도,여수,문수동,11,11,5,10,9*,9
"도시대기",전라남도,여수,여천동,12,11,6,11,8,9
"도시대기",전라남도,여수,덕충동,13,13,7,14,10,9
"도시대기",전라남도,여수,화양면,12,12,6,12,9,10
"도시대기",전라남도,여수,율촌면,12,12,5,11,8,10
"도시대기",전라남도,여수,삼일동,13,13,6,13,9,10
